SMILE,MOLECULE -ID,IC-50
CCCOC(=O)CC,CHEMBL3185284,2.31
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,,3.52
Nc1ccc(O)cc1,CHEMBL1142,2.95
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CHEMBL110,3.05
O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,CHEMBL519462,4.97
CCNc1nc(Cl)nc(N(CC)CC)n1,CHEMBL15063,3.54
NC(=O)c1cnccn1,CHEMBL614,1.6
CCC(Br)(CC)C(=O)NC(N)=O,CHEMBL1697828,2.81
Clc1ccccc1-c1ccccc1Cl,CHEMBL417802,4.3
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,CHEMBL1605821,3.04
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,CHEMBL561004,4.58
CC12CCC(CC1=O)C2(C)C,CHEMBL15768,2.92
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CAS Number-115-43-5,2.68
CCCCC(=O)OCC,CHEMBL47483,2.65
CC(=O)OCCC(C)C,CHEMBL42013,2.83
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,,4.4
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,CHEMBL3183220,4.48
CCCBr,CHEMBL1230095,2.69
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,CHEMBL560579,3.7
COP(=S)(OC)SCC(=O)N(C)C=O,CHEMBL449733,3
Cc1ncnc2nccnc12,,2.15
NC(N)=S,CHEMBL260876,1.66
Cc1ccc(C)cc1,CHEMBL31561,3.59
CCc1ccccc1CC,CHEMBL3186870,3.56
ClC(Cl)(Cl)C(Cl)(Cl)Cl,CHEMBL160929,4.19
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,CHEMBL2289397,4.82
CCC[N+](=O)[O-],CHEMBL1449933,2.09
CC1CCC(C(C)C)C(=O)C1,CHEMBL1719455,2.38
CCN1c2cc(Cl)ccc2N(C)C(=O)c2cccnc21,CHEMBL69894,3.84
O=[N+]([O-])c1cccc(Cl)c1Cl,CHEMBL168024,4.07
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,CHEMBL440,3.04
c1ccc2c(c1)-c1cccc3cccc-2c13,CHEMBL355014,4.86
CCCOC(C)C,PubChem CID-12304,1.97
Cc1cc(C)c2ccccc2c1,CHEMBL370524,4.22
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL2135534,4.44
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,CHEMBL468167,4.93
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,CHEMBL137283,4.78
c1ccc(C2CO2)cc1,CHEMBL1605493,3.38
CC(C)c1ccccc1,CHEMBL1398949,3.68
